,genbank_accessions,genome_id,genome_name,organism_name,taxon_id,genome_status,strain,culture_collection,type_strain,completion_date,bioproject_accession,biosample_accession,refseq_accessions,sequencing_centers,sequencing_status,sequencing_platform,assembly_method,chromosomes,plasmids,genome_length,gc_content,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,host_health,comments,assembly_name,assembly_type,assembly_status,refseq_category,source_database,paired_accession,paired_assembly,bioproject_lineage_accessions,bioproject_lineage_titles,biosample_last_updated,biosample_publication_date,biosample_submission_date,biosample_package,biosample_status,biosample_description,biosample_owner,biosample_collected_by,biosample_lat_lon,biosample_sample_ids,biosample_models,biosample_bioprojects,biosample_attributes_json,annotation_name,annotation_provider,annotation_release_date,annotation_gene_total,annotation_gene_non_coding,annotation_gene_other,checkm_marker_set,checkm_marker_set_rank,checkm_version,checkm_completeness,checkm_contamination,checkm_completeness_percentile,checkm_species_tax_id,ani_match_status,ani_category,ani_comment,ani_submitted_match_assembly,ani_submitted_match_ani,ani_submitted_match_organism,assembly_stats_contig_n50,assembly_stats_contig_l50,assembly_stats_gc_count,assembly_stats_genome_coverage,assembly_stats_atgc_count,organism_infraspecific_names_strain,organism_infraspecific_names_isolate,assembly_stats_total_number_of_chromosomes,wgs_project_accession,annotation_count_gene_total,annotation_count_gene_protein_coding,annotation_count_gene_pseudogene,mash_cluster,mlst_source,mlst,isolation_source_l1,isolation_source_l2,serotype
776,GCA_036233455.1,GCF_036233455.1,Pseudomonas aeruginosa F019,Pseudomonas aeruginosa,287,Complete,F019,,,2024-01-26,PRJNA916184,SAMN32413519,GCF_036233455.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6586672,66.5,6021,Cystic fibrosis human lung,2006-09-26,Denmark,Denmark,Homo sapiens,,,ASM3623345v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233455.1,"{'accession': 'GCA_036233455.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.100,2024-01-30T14:06:09.100,2022-12-27T07:36:03.987,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.100'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F019'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F019""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2006-09-26""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233455.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6161,81,,Pseudomonas aeruginosa,species,v1.2.3,99.28,0.64,42.5345,287,species_match,category_na,na,GCA_008801675.1,98.91,Pseudomonas aeruginosa,6586672,1,4363894,83.0,6586672,F019,,1.0,,6161.0,6021.0,59.0,20,PubMLST,1020,human,respiratory,O7
777,GCA_036233475.1,GCF_036233475.1,Pseudomonas aeruginosa F018,Pseudomonas aeruginosa,287,Complete,F018,,,2024-01-26,PRJNA916184,SAMN32413518,GCF_036233475.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6556621,66.0,5933,Cystic fibrosis human lung,2011-06-15,Denmark,Denmark,Homo sapiens,,,ASM3623347v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233475.1,"{'accession': 'GCA_036233475.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.967,2024-01-30T14:06:09.967,2022-12-27T07:36:03.957,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.967'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F018'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F018""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2011-06-15""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233475.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6081,79,,Pseudomonas aeruginosa,species,v1.2.3,99.06,0.9,29.5417,287,species_match,category_na,na,GCA_008801675.1,99.46,Pseudomonas aeruginosa,6556621,1,4338568,71.0,6556621,F018,,1.0,,6081.0,5933.0,69.0,25,BVBRC,244,human,respiratory,O5
778,GCA_036233495.1,GCF_036233495.1,Pseudomonas aeruginosa F017,Pseudomonas aeruginosa,287,Complete,F017,,,2024-01-26,PRJNA916184,SAMN32413517,GCF_036233495.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6705126,66.0,6070,Cystic fibrosis human lung,2008-10-20,Denmark,Denmark,Homo sapiens,,,ASM3623349v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233495.1,"{'accession': 'GCA_036233495.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.947,2024-01-30T14:06:09.947,2022-12-27T07:36:03.933,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.947'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F017'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F017""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2008-10-20""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233495.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6238,82,,Pseudomonas aeruginosa,species,v1.2.3,99.59,0.5,75.1242,287,species_match,category_na,na,GCA_024169805.1,99.39,Pseudomonas aeruginosa,6705126,1,4433763,62.0,6705126,F017,,1.0,,6238.0,6070.0,86.0,95,BVBRC,348,human,respiratory,O5
779,GCA_036233515.1,GCF_036233515.1,Pseudomonas aeruginosa F016,Pseudomonas aeruginosa,287,Complete,F016,,,2024-01-26,PRJNA916184,SAMN32413516,GCF_036233515.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6967501,66.0,6440,Cystic fibrosis human lung,2009-05-15,Denmark,Denmark,Homo sapiens,,,ASM3623351v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233515.1,"{'accession': 'GCA_036233515.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.940,2024-01-30T14:06:09.940,2022-12-27T07:36:03.923,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.940'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F016'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F016""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2009-05-15""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233515.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6589,86,,Pseudomonas aeruginosa,species,v1.2.3,99.82,0.87,94.5445,287,species_match,category_na,na,GCA_024169805.1,99.42,Pseudomonas aeruginosa,6967501,1,4598158,69.0,6967501,F016,,1.0,,6589.0,6440.0,63.0,73,PubMLST,395,human,respiratory,O6
780,GCA_036233535.1,GCF_036233535.1,Pseudomonas aeruginosa F015,Pseudomonas aeruginosa,287,Complete,F015,,,2024-01-26,PRJNA916184,SAMN32413515,GCF_036233535.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6501549,66.5,5916,Cystic fibrosis human lung,2006-07-04,Denmark,Denmark,Homo sapiens,,,ASM3623353v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233535.1,"{'accession': 'GCA_036233535.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.927,2024-01-30T14:06:09.927,2022-12-27T07:36:03.913,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.927'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F015'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F015""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2006-07-04""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233535.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6042,80,,Pseudomonas aeruginosa,species,v1.2.3,99.39,0.5,52.8769,287,species_match,category_na,na,GCA_024169805.1,99.42,Pseudomonas aeruginosa,6501549,1,4312175,77.0,6501549,F015,,1.0,,6042.0,5916.0,46.0,48,BVBRC,241,human,respiratory,O6
781,GCA_036233555.1,GCF_036233555.1,Pseudomonas aeruginosa F014,Pseudomonas aeruginosa,287,Complete,F014,,,2024-01-26,PRJNA916184,SAMN32413514,GCF_036233555.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6744622,66.0,6103,Cystic fibrosis human lung,2007-08-02,Denmark,Denmark,Homo sapiens,,,ASM3623355v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233555.1,"{'accession': 'GCA_036233555.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.913,2024-01-30T14:06:09.913,2022-12-27T07:36:03.903,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.913'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F014'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F014""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2007-08-02""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233555.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6255,81,,Pseudomonas aeruginosa,species,v1.2.3,99.55,0.86,71.2424,287,species_match,category_na,na,GCA_024169805.1,99.35,Pseudomonas aeruginosa,6744622,1,4454257,114.0,6744622,F014,,1.0,,6255.0,6103.0,71.0,51,BVBRC,252,human,respiratory,O1
782,GCA_036233575.1,GCF_036233575.1,Pseudomonas aeruginosa F013,Pseudomonas aeruginosa,287,Complete,F013,,,2024-01-26,PRJNA916184,SAMN32413513,GCF_036233575.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6595088,66.5,6070,Cystic fibrosis human lung,2009-01-06,Denmark,Denmark,Homo sapiens,,,ASM3623357v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233575.1,"{'accession': 'GCA_036233575.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.907,2024-01-30T14:06:09.907,2022-12-27T07:36:03.893,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.907'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F013'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F013""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2009-01-06""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233575.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6200,81,,Pseudomonas aeruginosa,species,v1.2.3,99.29,0.52,44.0696,287,species_match,category_na,na,GCA_024169805.1,99.37,Pseudomonas aeruginosa,6595088,1,4373443,103.0,6595088,F013,,1.0,,6200.0,6070.0,49.0,54,PubMLST,499,human,respiratory,O1
783,GCA_036233595.1,GCF_036233595.1,Pseudomonas aeruginosa F012,Pseudomonas aeruginosa,287,Complete,F012,,,2024-01-26,PRJNA916184,SAMN32413512,GCF_036233595.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6883553,66.0,6288,Cystic fibrosis human lung,2005-09-13,Denmark,Denmark,Homo sapiens,,,ASM3623359v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233595.1,"{'accession': 'GCA_036233595.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.870,2024-01-30T14:06:09.870,2022-12-27T07:36:03.883,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.870'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F012'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F012""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2005-09-13""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233595.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6438,79,,Pseudomonas aeruginosa,species,v1.2.3,98.91,1.57,24.2297,287,species_match,category_na,na,GCA_008801675.1,99.46,Pseudomonas aeruginosa,6883553,1,4537076,78.0,6883553,F012,,1.0,,6438.0,6288.0,71.0,25,BVBRC,244,human,respiratory,O2
784,GCA_036233615.1,GCF_036233615.1,Pseudomonas aeruginosa F011,Pseudomonas aeruginosa,287,Complete,F011,,,2024-01-26,PRJNA916184,SAMN32413511,GCF_036233615.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,2,1,6941247,66.0,6426,Cystic fibrosis human lung,2002-03-06,Denmark,Denmark,Homo sapiens,,,ASM3623361v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233615.1,"{'accession': 'GCA_036233615.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.850,2024-01-30T14:06:09.850,2022-12-27T07:36:03.873,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.850'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F011'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F011""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2002-03-06""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233615.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6569,80,,Pseudomonas aeruginosa,species,v1.2.3,99.81,1.32,94.0696,287,species_match,category_na,na,GCA_024169805.1,99.39,Pseudomonas aeruginosa,6765435,1,4581101,69.0,6941247,F011,,2.0,,6569.0,6426.0,63.0,74,BVBRC,27,human,respiratory,O1
785,GCA_036233635.1,GCF_036233635.1,Pseudomonas aeruginosa F010,Pseudomonas aeruginosa,287,Complete,F010,,,2024-01-26,PRJNA916184,SAMN32413510,GCF_036233635.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,3,2,6991023,66.0,6487,Cystic fibrosis human lung,2005-05-18,Denmark,Denmark,Homo sapiens,,,ASM3623363v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233635.1,"{'accession': 'GCA_036233635.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.840,2024-01-30T14:06:09.840,2022-12-27T07:36:03.860,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.840'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F010'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F010""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2005-05-18""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233635.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6645,81,,Pseudomonas aeruginosa,species,v1.2.3,99.43,2.36,57.2281,287,species_match,category_na,na,GCA_001045685.1,98.91,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,6870628,1,4620580,113.0,6991023,F010,,3.0,,6645.0,6487.0,77.0,15,PubMLST,2555,human,respiratory,O11
786,GCA_036233655.1,GCF_036233655.1,Pseudomonas aeruginosa F009,Pseudomonas aeruginosa,287,Complete,F009,,,2024-01-26,PRJNA916184,SAMN32413509,GCF_036233655.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6736094,66.0,6132,Cystic fibrosis human lung,2007-07-26,Denmark,Denmark,Homo sapiens,,,ASM3623365v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233655.1,"{'accession': 'GCA_036233655.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.820,2024-01-30T14:06:09.820,2022-12-27T07:36:03.847,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.820'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F009'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F009""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2007-07-26""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233655.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6287,81,,Pseudomonas aeruginosa,species,v1.2.3,99.82,0.54,94.5445,287,species_match,category_na,na,GCA_008801675.1,98.95,Pseudomonas aeruginosa,6736094,1,4453351,90.0,6736094,F009,,1.0,,6287.0,6132.0,74.0,2,PubMLST,253,human,respiratory,O10
787,GCA_036233675.1,GCF_036233675.1,Pseudomonas aeruginosa F008,Pseudomonas aeruginosa,287,Complete,F008,,,2024-01-26,PRJNA916184,SAMN32413508,GCF_036233675.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6967870,66.0,6411,Cystic fibrosis human lung,2006-08-10,Denmark,Denmark,Homo sapiens,,,ASM3623367v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233675.1,"{'accession': 'GCA_036233675.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.810,2024-01-30T14:06:09.810,2022-12-27T07:36:03.837,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.810'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F008'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F008""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2006-08-10""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233675.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,6557,81,,Pseudomonas aeruginosa,species,v1.2.3,99.49,0.52,62.5014,287,species_match,category_na,na,GCA_001045685.1,98.97,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,6967870,1,4600420,81.0,6967870,F008,,1.0,,6557.0,6411.0,65.0,1,PubMLST,235,human,respiratory,O11
788,GCA_036233715.1,GCF_036233715.1,Pseudomonas aeruginosa F006,Pseudomonas aeruginosa,287,Complete,F006,,,2024-01-26,PRJNA916184,SAMN32413506,GCF_036233715.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6300760,66.5,5694,Cystic fibrosis human lung,2008-07-15,Denmark,Denmark,Homo sapiens,,,ASM3623371v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233715.1,"{'accession': 'GCA_036233715.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.780,2024-01-30T14:06:09.780,2022-12-27T07:36:03.817,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.780'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F006'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F006""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2008-07-15""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233715.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,5852,79,,Pseudomonas aeruginosa,species,v1.2.3,99.11,1.4,31.5958,287,species_match,category_na,na,GCA_001045685.1,98.3,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,6300760,1,4189466,72.0,6300760,F006,,1.0,,5852.0,5694.0,79.0,23,-,-,human,respiratory,O7
789,GCA_036233735.1,GCF_036233735.1,Pseudomonas aeruginosa F005,Pseudomonas aeruginosa,287,Complete,F005,,,2024-01-26,PRJNA916184,SAMN32413505,GCF_036233735.1,Technical University of Denmark,OK,Oxford Nanopore MinION,Flye v. 2.9,1,0,6441832,66.5,5852,Cystic fibrosis human lung,2002-07-17,Denmark,Denmark,Homo sapiens,,,ASM3623373v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_036233735.1,"{'accession': 'GCA_036233735.1', 'status': 'current', 'annotationName': 'NCBI Prokaryotic Genome Annotation Pipeline (PGAP)'}",PRJNA916184,Studies on early isolates of clinical Pseudomonas aeruginosa,2024-01-30T14:06:09.760,2024-01-30T14:06:09.760,2022-12-27T07:36:03.807,Microbe.1.0,"{'status': 'live', 'when': '2024-01-30T14:06:09.760'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'Technical University of Denmark', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'F005'}","Microbe, viral or environmental",PRJNA916184,"[{""name"": ""strain"", ""value"": ""F005""}, {""name"": ""host"", ""value"": ""Homo sapiens""}, {""name"": ""isolation_source"", ""value"": ""Cystic fibrosis human lung""}, {""name"": ""collection_date"", ""value"": ""2002-07-17""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""sample_type"", ""value"": ""culture samples from human patient surveilance""}]",GCF_036233735.1-RS_2025_03_12,NCBI RefSeq,2025-03-12,5985,79,,Pseudomonas aeruginosa,species,v1.2.3,99.61,0.44,76.4274,287,species_match,category_na,na,GCA_024169805.1,99.42,Pseudomonas aeruginosa,6441832,1,4279305,68.0,6441832,F005,,1.0,,5985.0,5852.0,54.0,81,PubMLST,915,human,respiratory,O3
